bus_id,x,y,typ,voltage,frequency,name,operator,ref,source,n_gen,capacity,net_capacity,wkt_srid_4326,region,injection_mw
118825,11.8997051689716,51.3997673870755,joint,380000;380000;220000;220000,50;50,"233 Großdalzig - Eula, 358 Wolkramshausen - Eula;357;358 Bad Lauchstädt - Wolkramshausen",50Hertz,233;358,,,,,SRID=4326;POINT(11.8997051689716 51.3997673870755),50Hertz,2.9422491650519405
125966,7.50217858569708,50.97972368055,joint,380000;110000;110000;30000,50,RWE 4562 Ronsdorf - Bomig;110 kV Agger West; Bomig; 30 kV Homburg Ltg.,RWE,4562,,,,,SRID=4326;POINT(7.50217858569708 50.97972368055),Amprion,-19.175193958965924
126023,10.9872718720153,50.5772233893206,joint,110000;380000;110000;380000,,"Law - Atf 1, Law - Atf 2;467, 468;Law - Atf 1, Law - Atf 2;467, 468",Thüringer_Energienetze,,,,,,SRID=4326;POINT(10.9872718720153 50.5772233893206),TenneT,-0.17614784194156563
128173,7.93969055824504,50.8494754508434,joint,110000;220000;110000,50,110kV Betzdorf Süd+Kreuztal Süd,RWE,0813,,,,,SRID=4326;POINT(7.93969055824504 50.8494754508434),Amprion,-19.909790017964653
131037,11.1142251117336,50.2132704697023,joint,380000;110000;380000;110000;110000,,Altenfeld - Redwitz;Altenfeld - Redwitz;Ebersdorf - Redwitz;Coburg - Redwitz;Altenfeld - Redwitz;Altenfeld - Redwitz;Ebersdorf - Neustadt bei Coburg;Coburg - Redwitz;Ebersdorf - Neustadt bei Coburg;Ebersdorf - Redwitz,TenneT TSO GmbH,459;460;156;158,,,,,SRID=4326;POINT(11.1142251117336 50.2132704697023),50Hertz,-3.226027789161167
131063,12.3248061972172,51.1950506628472,joint,110000;220000,50;50,,MITNETZ,,,,,,SRID=4326;POINT(12.3248061972172 51.1950506628472),50Hertz,3.411550782421802
133613,12.9417261578462,52.5621020850187,merge,380000;220000;110000,,Wustermark;Am Umspannwerk,50Hertz Transmission GmbH;E.ON edis AG,Wu,,,,,SRID=4326;POINT(12.9417261578462 52.5621020850187),50Hertz,4.521664936166113
133627,10.9993129974283,52.2001376075291,merge,380000;110000,,Umspannwerk Helmstedt;Station Helmstedt 380 kV-Anlage,TenneT TSO GmbH,,,,,,SRID=4326;POINT(10.9993129974283 52.2001376075291),TenneT,2.5164718014924325
133635,13.2061719723506,52.6571370513706,merge,220000,50,Gewerbe Nord;Hennigsdorf,EON_edis,,,,,,SRID=4326;POINT(13.2061719723506 52.6571370513706),50Hertz,4.993847854629587
133839,6.99611165854856,51.5141819249677,merge,380000;110000,50,Station Karnap;Station Arenberg,,,,,,,SRID=4326;POINT(6.99611165854856 51.5141819249677),Amprion,-18.962237073000093
