line_id,bus0,bus1,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,type,parallel_circuits,voltage_kv,length_km,x_ohm,capacity_mw,susceptance,flow_mw,abs_flow_mw,utilization_pct,severity,bottleneck_score
34552,17476,22609,380000,6,2,50,3003 Sottrum - Landsbergen,TenneT,3003,78846.7914799951,,,,,'',"SRID=4326;LINESTRING(9.12526385645653 52.5382634068284,9.25079586209321 53.1143538822759)",line,1,380.0,78.84679147999509,25.23097327359843,1645.4482671904334,5723.124448437329,-1915.637204320871,1915.637204320871,116.42038479834916,overload,509.9340558030967
119500,113809,134337,220000,6,2,50,Leitung 2010,TenneT,2010,42453.3658507631,,,,,'',"SRID=4326;LINESTRING(9.13794792584036 52.8470269944345,9.1136671111921 52.545902653156)",line,1,220.0,42.4533658507631,13.585077072244191,495.3665309646989,3562.732823863512,658.5620047565841,658.5620047565841,132.94438836513058,overload,501.4247959595706
101141,113809,22609,220000,6,2,50,Leitung 2010,TenneT,2010,33590.0820392371,,,,,'',"SRID=4326;LINESTRING(9.13794792584036 52.8470269944345,9.25079586209321 53.1143538822759)",line,1,220.0,33.5900820392371,10.748826252555872,495.3665309646989,4502.817225135756,-660.3445257456169,660.3445257456169,133.30422716682787,overload,472.3724596434237
167017,18618,114040,380000,6,2,50,304,TenneT,304,55877.9189023708,,,,,'',"SRID=4326;LINESTRING(7.31712785521868 53.1282300130834,8.04257999762696 53.3305925878364)",line,1,380.0,55.8779189023708,17.880934048758657,1645.4482671904334,8075.640769449884,-1674.0651767295653,1674.0651767295653,101.73915583429401,overload,411.1184870595087
159183,131,134281,220000,6,2,50,204,TenneT,204,31318.0442418778,,,,,'',"SRID=4326;LINESTRING(8.10553905313517 53.5565256492864,8.05324040764567 53.3334140108585)",line,1,220.0,31.3180442418778,10.021774157400896,495.3665309646989,4829.484205075355,546.7356115553972,546.7356115553972,110.36991346400814,overload,383.6045098949169
85318,114312,115378,380000,6,4,50,,Amprion,4121,26083.4044017173,,,,,'',"SRID=4326;LINESTRING(7.27007691315187 52.6541665746089,7.41762169513889 52.4732338809463)",line,1,380.0,26.0834044017173,8.346689408549535,1645.4482671904334,17300.272351345757,1640.259918956801,1640.259918956801,99.68468481585923,tight,328.8519157282105
137040,113482,112114,220000,9,,50,,EON_Netz,,7344.14829484921,,,,,'',"SRID=4326;LINESTRING(9.52509082141858 53.6183462739183,9.5392428804046 53.562404675713)",line,1,220.0,7.3441482948492105,2.3501274543517474,495.3665309646989,20594.627712798036,759.5322052228863,759.5322052228863,153.32731578448374,overload,325.29317523271254
131137,46272,114652,380000,6,4,50,,RWE,4511,34917.33974073,,,,,'',"SRID=4326;LINESTRING(7.44924655271619 50.4025219054932,7.07416845323536 50.5936908899782)",line,1,380.0,34.91733974073,11.1735487170336,1645.4482671904334,12923.378566369727,1478.6339885871284,1478.6339885871284,89.86207698354828,tight,321.81588351210814
134369,112475,134424,220000,6,1,50,,TenneT,2024,20065.832234156,,,,,'',"SRID=4326;LINESTRING(10.1846438743188 52.3052654646128,9.91802181769691 52.3799541650546)",line,1,220.0,20.065832234156,6.421066314929921,495.3665309646989,7537.6888551147495,508.28694458349287,508.28694458349287,102.60825324505315,overload,312.71428952498405
149577,113964,113965,380000,6,,50,Emsland Ost/West,TenneT,305,19514.7392844067,,,,,'',"SRID=4326;LINESTRING(7.1915919152621 52.8724919422328,7.27574474360549 52.7477279670077)",line,1,380.0,19.5147392844067,6.244716571010144,1645.4482671904334,23123.54745935921,1701.292551200877,1701.292551200877,103.39386446380333,overload,312.3677136905781
168774,20429,134414,220000,6,1,50,,TenneT,207,14958.3874656212,,,,,'',"SRID=4326;LINESTRING(9.95087604388534 54.3227891414081,9.72598060145038 54.2894372291962)",line,1,220.0,14.958387465621199,4.786683988998783,495.3665309646989,10111.384021012778,510.5127917340455,510.5127917340455,103.05758661971976,overload,285.4679227926032
1592,16874,17055,380000,6,4,50,,TenneT,,14723.0996013923,,,,,'',"SRID=4326;LINESTRING(8.57123178873015 52.1053816593505,8.65934958571703 51.9996166017244)",line,1,380.0,14.723099601392299,4.711391872445536,1645.4482671904334,30649.116844752392,1657.6801167122157,1657.6801167122157,100.74337490674611,overload,277.56118953055187
